Name,Category,Date,Eps Watched (For Pending),Genre,Notes,Score /5,Seasons Completed,Seasons Out,Show Status,Watch Status,YOR
Durarara,Anime,,,,,,,,Completed,Paused,
Jujutsu Kaisen,Anime,,,,,,1,2,Ongoing,Ongoing,2020
"Bofuri: I Don't Want To Get Hurt, So I'll Max Out My Defense",Anime,,,,,,1,2,Ongoing,Paused,
Bakemonogatari,Anime,,,,,,1,1,Completed,Completed,
The Testament Of Sister New Devil,Anime,,,,,,1,2,Completed,Paused,2015
Rascal Does Not Dream Of Bunny Girl Senpai,Anime,,,,,,1,1,Completed,Completed,2018
Grand Blue,Anime,,,,,,1,1,Paused,Completed,
Hormiya,Anime,,,,,,1,2,Completed,Paused,
So What If I’m A Spider?,Anime,,,,,,1,1,Ongoing,Completed,
Nekomonogatari: Black,Anime,,,,,,1,1,Completed,Completed,
Nisemonogatari,Anime,,,,,,1,1,Completed,Completed,
Monogatari: The Second Season,Anime,,,,,,,1,Completed,Paused,
Noragami,Anime,,,,,,2,2,Paused,Completed,
Wotakoi: Love Is Hard For Otaku,Anime,,,,,,1,1,Completed,Completed,
The Day I Became A God,Anime,,,,,,1,1,Completed,Completed,
Prison School,Anime,,,,,,1,1,Cancelled,Completed,
The Way Of The Househusband,Anime,,,,,,,2,Completed,Paused,
Yamada-kun And The Seven Witches,Anime,,,,,,1,1,Cancelled,Completed,
Chivalry Of A Failed Knight,Anime,,,,,,1,1,Paused,Completed,2014
How Heavy Are The Dumbbells You Lift?,Anime,,,,,,1,1,Completed,Completed,
Highschool Of The Dead,Anime,,,,,,1,1,Cancelled,Completed,
How To Raise A Boring Girlfriend,Anime,,,,,,1,1,Completed,Completed,
Death Parade,Anime,,,,,,1,1,Completed,Completed,
Blood Blockade Battlefront,Anime,,,,,,2,2,Paused,Completed,2015
The Daily Life Of The Immortal King,Anime,,,,,,1,3,Ongoing,Paused,2020
"Don’t Toy With Me, Miss Nagatoro",Anime,,,,,,1,2,Ongoing,Paused,2021
Miss Kobayashi’s Dragon Maid,Anime,,,,,,1,2,Ongoing,Paused,2017
"Love, Chunibyo & Other Delusions",Anime,,,,,,2,2,Completed,Completed,2012
Charlotte,Anime,,,,,,1,1,Completed,Completed,2015
Erased,Anime,,,,,,1,1,Completed,Completed,2016
Hybrid x Heart Magias Academy Ataraxia,Anime,,,,,,1,1,Cancelled,Completed,2016
Shimoneta: A Boring World Where The Concept Of Dirty Jokes Doesn’t Exist,Anime,,,,,,1,1,Cancelled,Completed,2015
My First Girlfriend Is A Gal,Anime,,,,,,1,1,Completed,Completed,2017
My Wife Is The Student Council President,Anime,,,,,,1,1,Completed,Completed,2015
Dogeza: I Tried Asking While Kowtowing,Anime,,,,,,1,1,Completed,Completed,2020
Kiznaiver,Anime,,,,,,1,1,Completed,Completed,2016
Ajin: Demi-Human,Anime,,,,,,2,2,Ongoing,Completed,2016
Parasyte: The Maxim,Anime,,,,,,1,1,Completed,Completed,2014
Inuyashiki,Anime,,,,,,1,1,Completed,Completed,2017
Kemono Jihen,Anime,,,,,,1,1,Ongoing,Completed,2021
Talentless Nana,Anime,,,,,,1,1,Ongoing,Completed,2020
Mushoku Tensei: Jobless Reincarnation,Anime,,,,,,,2,Ongoing,Paused,2021
Link Click,Donghua,,,,,,1,2,Ongoing,Ongoing,2021
Tsukimichi: Moonlit Fantasy,Anime,,,,,,1,1,Ongoing,Completed,2021
In Another World With My Smartphone,Anime,,,,,,1,2,Ongoing,Paused,2017
The Great Jahy Will Not Be Defeated!,Anime,,,,,,1,1,Completed,Completed,2021
Spy X Family,Anime,,,,,,,2,Ongoing,Paused,2022
Big Order,Anime,,,,,,1,1,Completed,Completed,2016
Tokyo Revengers,Anime,,,,,,1,3,Ongoing,Paused,2021
Uncle From Another World,Anime,,,,,,,1,Completed,Paused,2022
Chainsaw Man,Anime,,,,,,1,1,Ongoing,Completed,2022
Made In Abyss,Anime,,,,,,,,Ongoing,Paused,2017
Komi San Can’t Communicate,Anime,,,,,,,,Ongoing,Paused,2021
Summertime Rendering,Anime,,,,,,,1,Completed,Paused,2022
The World’s Finest Assassin Gets Reincarnated In Another World As An Aristocrat,Anime,,,,,,1,1,Ongoing,Completed,2021
Hell's Paradise: Jigokuraku,Anime,,,,,,,1,Ongoing,Paused,2023
The Dungeon Of Black Company,Anime,,,,,,1,1,Ongoing,Completed,2021
Platinum End,Anime,,,"Action, Dark, Depression",The one with the WTF ending,⭐️⭐️⭐️⭐️⭐️,1,1,Completed,Completed,2021
Ragna Crimson,Anime,,,"Action, Adventure, Dark",,⭐️⭐️⭐️⭐️,1,1,Ongoing,Watching,2023
Naruto Shippudden,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,22,22,Completed,Completed,2007
Dead Mount Death Play,Anime,,17,"Action, Dark, Depression",,⭐️⭐️⭐️⭐️,1,1,Ongoing,Ongoing,2021
Ron Kamonohashi's Forbidden Deductions,Anime,,8,"Adventure, Comedy, Slice of Life",,⭐️⭐️⭐️⭐️⭐️,1,1,Ongoing,Watching,2023
Wind Breaker,Anime,,1,"Action, Drama",,⭐️⭐️⭐️⭐️⭐️,,1,Ongoing,Ongoing,2024
Solo Leveling,Anime,,22,"Action, Adventure",,⭐️⭐️⭐️⭐️⭐️,,2,Ongoing,Ongoing,2024
Ninja Kamui,Anime,,1,"Action, Adventure, Dark, Depression",,⭐️⭐️⭐️⭐️⭐️,,1,Ongoing,Ongoing,2024
Mashle: Magic and Muscles,Anime,,,"Action, Comedy",,⭐️⭐️⭐️⭐️,2,2,Ongoing,Completed,2023
Frieren: Beyond Journey’s End,Anime,,28,"Action, Adventure, Slice of Life",,⭐️⭐️⭐️⭐️⭐️,1,1,Ongoing,Completed,2023
Undead Unluck,Anime,,24,"Action, Adventure, Comedy",,⭐️⭐️⭐️⭐️⭐️,1,1,Ongoing,Completed,2023
Dan Da Dan,Anime,,,"Action, Adventure, Romance",,⭐️⭐️⭐️⭐️⭐️,,,Ongoing,Ongoing,2024
Ranma ½,Anime,,12,"Adventure, Comedy, Romance",,⭐️⭐️⭐️⭐️,1,1,Ongoing,Completed,2024
Masamune Kun’s Revenge,Anime,,24,"Comedy, Drama, Romance, Slice of Life",,⭐️⭐️⭐️⭐️,2,2,Completed,Completed,2023
Loner Life In Another World,Anime,,12,"Comedy, Isekai, Romance",,⭐️⭐️⭐️⭐️,1,1,Ongoing,Completed,2024
The Wrong Way To Use Healing Magic,Anime,,13,"Adventure, Comedy, Isekai",,⭐️⭐️⭐️⭐️,1,1,Ongoing,Completed,2024
To Be Hero X,Anime,,7,"Action, Adventure, Dark, Drama",,⭐️⭐️⭐️⭐️⭐️,,1,Ongoing,Ongoing,2025
Rising Of The Shield Hero,Anime,,51,"Action, Adventure, Dark, Drama, Isekai",,⭐️⭐️⭐️⭐️⭐️,3,4,Ongoing,Ongoing,2019
Takt op. Destiny,Anime,,13,Action,,⭐️⭐️⭐️,1,1,Completed,Completed,2021
"Go Go Loser Ranger! ",Anime,,7,"Action, Comedy",,⭐️⭐️⭐️⭐️,1,2,Ongoing,Ongoing,2023
I Was Reincarnated As The 7th Prince So I Can Take My Time Perfecting My Magical Ability,Anime,,15,"Action, Adventure, Comedy, Isekai",,⭐️⭐️⭐️⭐️,2,2,Ongoing,Ongoing,2025
,,,,,,,,,,,
